"INV_ID","PRINT_DATE","WEB_LOG","INVENTORY_NO"
76868,,,76868
76869,,,76869
76870,,,76870
76871,,,76871
76872,,,76872
76873,,,76873
76874,,,76874
76875,,,76875
76876,,,76876
76877,,,76877
76878,,,76878
76879,,,76879
31109,,,31109
31110,,,31110
31111,,,31111
31112,,,31112
31113,,,31113
31114,,,31114
31115,,,31115
31116,,,31116
31117,,,31117
31118,,,31118
31119,,,31119
31120,,,31120
31121,,,31121
31122,,,31122
31123,,,31123
31124,,,31124
31125,,,31125
31126,,,31126
31127,,,31127
31128,,,31128
31129,,,31129
31130,,,31130
31131,,,31131
31132,,,31132
31133,,,31133
31134,,,31134
31135,,,31135
31136,,,31136
31137,,,31137
31138,,,31138
31139,,,31139
31140,,,31140
31141,,,31141
31142,,,31142
31143,,,31143
31144,,,31144
31145,,,31145
31146,,,31146
31147,,,31147
31148,,,31148
31149,,,31149
31150,,,31150
31151,,,31151
31152,,,31152
31153,,,31153
31154,,,31154
31155,,,31155
31156,,,31156
31157,,,31157
31158,,,31158
31159,,,31159
31160,,,31160
31161,,,31161
31162,,,31162
31163,,,31163
31164,,,31164
31165,,,31165
31166,,,31166
