"HESAB_ID","TITLE","CREATE_DATE","USER_ID","STATUS","SUPPLIER_ID","INVOICE_DATE","SUPPLY_TYPE","ITEMS_NO","TITLES_NO","DOC_NO","CONTRACT_NO","INVOICE_DETAILS","COST","EDITED_BY","EDIT_DATE"
486,"486",23-FEB-21,10664,1,,,"",,,,,"",,,
487,"487",23-FEB-21,10664,1,,,"",,,,,"",,,
488,"488",23-FEB-21,10664,1,,,"",,,,,"",,,
489,"489",23-FEB-21,10664,1,,,"",,,,,"",,,
490,"490",23-FEB-21,10664,1,,,"",,,,,"",,,
491,"491",23-FEB-21,10664,1,,,"",,,,,"",,,
492,"492",23-FEB-21,10664,1,,,"",,,,,"",,,
493,"493",23-FEB-21,10664,1,,,"",,,,,"",,,
494,"494",23-FEB-21,10664,1,,,"",,,,,"",,,
495,"495",23-FEB-21,10664,1,,,"",,,,,"",,,
496,"496",23-FEB-21,10664,1,,,"",,,,,"",,,
497,"497",23-FEB-21,10664,1,,,"",,,,,"",,,
498,"498",23-FEB-21,10664,1,,,"",,,,,"",,,
499,"499",23-FEB-21,10664,1,,,"",,,,,"",,,
500,"500",23-FEB-21,10664,1,,,"",,,,,"",,,
501,"501",23-FEB-21,10664,1,,,"",,,,,"",,,
502,"502",23-FEB-21,10664,1,,,"",,,,,"",,,
503,"503",23-FEB-21,10664,1,,,"",,,,,"",,,
504,"504",23-FEB-21,10664,1,,,"",,,,,"",,,
505,"505",23-FEB-21,10664,1,,,"",,,,,"",,,
5,"5",06-AUG-20,10664,1,,28-AUG-20,"",1800,1800,1800,,"filled just for test",0,,
236,"236",06-AUG-20,10664,1,,,"",,,,,"",,,
8,"8",06-AUG-20,10664,1,,,"",,,,,"",,,
180,"180",06-AUG-20,10664,1,,,"",,,,,"",,,
179,"179",06-AUG-20,10664,1,,,"",,,,,"",,,
60,"60",06-AUG-20,10664,1,,,"",,,,,"",,,
16,"16",06-AUG-20,10664,1,,,"",,,,,"",,,
143,"143",06-AUG-20,10664,1,,,"",,,,,"",,,
50,"50",06-AUG-20,10664,1,,,"",,,,,"",,,
24,"24",06-AUG-20,10664,1,,,"",,,,,"",,,
206,"206",06-AUG-20,10664,1,,,"",,,,,"",,,
218,"218",06-AUG-20,10664,1,,,"",,,,,"",,,
220,"220",06-AUG-20,10664,1,,,"",,,,,"",,,
7,"7",06-AUG-20,10664,1,,,"",,,,,"",,,
192,"192",06-AUG-20,10664,1,,,"",,,,,"",,,
239,"239",06-AUG-20,10664,1,,,"",,,,,"",,,
250,"250",06-AUG-20,10664,1,,,"",,,,,"",,,
234,"234",06-AUG-20,10664,1,,,"",,,,,"",,,
20,"20",06-AUG-20,10664,1,,,"",,,,,"",,,
136,"136",06-AUG-20,10664,1,,,"",,,,,"",,,
265,"265",06-AUG-20,10664,1,,,"",,,,,"",,,
276,"276",06-AUG-20,10664,1,,,"",,,,,"",,,
278,"278",06-AUG-20,10664,1,,,"",,,,,"",,,
289,"289",06-AUG-20,10664,1,,,"",,,,,"",,,
300,"300",06-AUG-20,10664,1,,,"",,,,,"",,,
302,"302",06-AUG-20,10664,1,,,"",,,,,"",,,
313,"313",06-AUG-20,10664,1,,,"",,,,,"",,,
327,"327",06-AUG-20,10664,1,,,"",,,,,"",,,
